# Eletricidade Instrumental ,eli
# Fundamentos de Sistemas Operacionais e Sistemas Operacionais de Redes,sor
# Física,fis
# Gestão Organizacional,gor
# Arte,art
# Inglês,ing
# História,his
# Programação Estruturada e Orientada a Objetos ,poo
# Língua Portuguesa e Literatura,por
# Biologia,bio
# Organização e Manutenção de Computadores ,man
# Projeto de Desenvolvimento de Software ,pds
# Programação com Acesso a Banco de Dados ,pbd
# Informática ,inf
# Fundamentos de Lógica e Algoritmos ,alg
# Química,qui
# Sociologia,soc
# Autoria Web ,web
# Arquitetura de redes de computadores e Tecnologia de Implementação de Redes,red
# Matemática,mat
# Filosofia,fil
# Eletrônica Analógica e Digital ,ela
# Educação Física,edf
# Espanhol ,esp
# Programação para Internet ,ppi
# Qualidade de Vida e Trabalho ,qvt
# Geografia ,geo
